Reference area,MEASURE,TIME_PERIOD,OBS_VALUE
Netherlands,ULCE,2009-Q4,3.109881
Netherlands,ULCE,2010-Q1,-1.847138
Netherlands,ULCE,2010-Q2,-1.745398
Netherlands,ULCE,2010-Q3,-1.024291
Netherlands,ULCE,2010-Q4,-0.3194317
Netherlands,ULCE,2011-Q1,0.4540814
Netherlands,ULCE,2011-Q2,0.4981925
Netherlands,ULCE,2011-Q3,1.087347
Netherlands,ULCE,2011-Q4,2.606735
Netherlands,ULCE,2012-Q1,2.962752
Netherlands,ULCE,2012-Q2,2.99455
Netherlands,ULCE,2012-Q3,2.988091
Netherlands,ULCE,2012-Q4,2.297536
Netherlands,ULCE,2013-Q1,2.281139
Netherlands,ULCE,2013-Q2,1.732864
Netherlands,ULCE,2013-Q3,0.7161424
Netherlands,ULCE,2013-Q4,-1.494484
Netherlands,ULCE,2014-Q1,-0.3144805
Netherlands,ULCE,2014-Q2,-0.691938
Netherlands,ULCE,2014-Q3,0.03228523
Netherlands,ULCE,2014-Q4,1.384376
Netherlands,ULCE,2015-Q1,-1.611211
Netherlands,ULCE,2015-Q2,-1.192023
Netherlands,ULCE,2015-Q3,-1.375494
Netherlands,ULCE,2015-Q4,-0.9167308
Netherlands,ULCE,2016-Q1,1.130118
Netherlands,ULCE,2016-Q2,1.480163
Netherlands,ULCE,2016-Q3,1.006417
Netherlands,ULCE,2016-Q4,0.1933247
Netherlands,ULCE,2017-Q1,0.0652307
Netherlands,ULCE,2017-Q2,-0.0329005
Netherlands,ULCE,2017-Q3,0.4128801
Netherlands,ULCE,2017-Q4,1.292413
Netherlands,ULCE,2018-Q1,1.725663
Netherlands,ULCE,2018-Q2,1.580395
Netherlands,ULCE,2018-Q3,3.07986
Netherlands,ULCE,2018-Q4,2.985054
Netherlands,ULCE,2019-Q1,3.120321
Netherlands,ULCE,2019-Q2,3.610444
Netherlands,ULCE,2019-Q3,2.636937
Netherlands,ULCE,2019-Q4,2.96999
Netherlands,ULCE,2020-Q1,5.181521
Netherlands,ULCE,2020-Q2,12.532
Netherlands,ULCE,2020-Q3,6.749406
Netherlands,ULCE,2020-Q4,8.697393
Netherlands,ULCE,2021-Q1,3.060158
Netherlands,ULCE,2021-Q2,-5.739587
Netherlands,ULCE,2021-Q3,-1.950023
Netherlands,ULCE,2021-Q4,-3.213579
Netherlands,ULCE,2022-Q1,0.9879388
Netherlands,ULCE,2022-Q2,1.922027
Netherlands,ULCE,2022-Q3,5.318842
Netherlands,ULCE,2022-Q4,5.667181
Netherlands,ULCE,2023-Q1,6.03046
Netherlands,ULCE,2023-Q2,8.37338
Netherlands,ULCE,2023-Q3,7.666341
Netherlands,ULCE,2023-Q4,6.5466
Belgium,LCEMP,1995-Q1,61.84927
Belgium,LCEMP,1995-Q2,61.91899
Belgium,LCEMP,1995-Q3,62.1283
Belgium,LCEMP,1995-Q4,62.74009
Belgium,LCEMP,1996-Q1,62.19018
Belgium,LCEMP,1996-Q2,63.33078
Belgium,LCEMP,1996-Q3,63.66547
Belgium,LCEMP,1996-Q4,64.05211
Belgium,LCEMP,1997-Q1,64.92339
Belgium,LCEMP,1997-Q2,65.32483
Belgium,LCEMP,1997-Q3,65.46731
Belgium,LCEMP,1997-Q4,65.36784
Belgium,LCEMP,1998-Q1,66.02032
Belgium,LCEMP,1998-Q2,65.89754
Belgium,LCEMP,1998-Q3,66.35767
Belgium,LCEMP,1998-Q4,66.25458
Belgium,LCEMP,1999-Q1,67.45943
Belgium,LCEMP,1999-Q2,68.20274
Belgium,LCEMP,1999-Q3,68.86115
Belgium,LCEMP,1999-Q4,69.28228
Belgium,LCEMP,2000-Q1,69.56745
Belgium,LCEMP,2000-Q2,69.47035
Belgium,LCEMP,2000-Q3,69.75323
Belgium,LCEMP,2000-Q4,70.51038
Belgium,LCEMP,2001-Q1,70.90449
Belgium,LCEMP,2001-Q2,71.674
Belgium,LCEMP,2001-Q3,72.80202
Belgium,LCEMP,2001-Q4,74.02745
Belgium,LCEMP,2002-Q1,74.63717
Belgium,LCEMP,2002-Q2,75.37122
Belgium,LCEMP,2002-Q3,75.59489
Belgium,LCEMP,2002-Q4,75.78148
Belgium,LCEMP,2003-Q1,76.30164
Belgium,LCEMP,2003-Q2,76.56387
Belgium,LCEMP,2003-Q3,77.1533
Belgium,LCEMP,2003-Q4,77.42915
Belgium,LCEMP,2004-Q1,77.79225
Belgium,LCEMP,2004-Q2,78.02554
Belgium,LCEMP,2004-Q3,78.25172
Belgium,LCEMP,2004-Q4,78.73169
Belgium,LCEMP,2005-Q1,78.49477
Belgium,LCEMP,2005-Q2,79.26724
Belgium,LCEMP,2005-Q3,80.1192
Belgium,LCEMP,2005-Q4,80.67311
Belgium,LCEMP,2006-Q1,81.58643
Belgium,LCEMP,2006-Q2,82.15588
Belgium,LCEMP,2006-Q3,82.60832
Belgium,LCEMP,2006-Q4,83.4118
Belgium,LCEMP,2007-Q1,84.47314
Belgium,LCEMP,2007-Q2,85.30963
Belgium,LCEMP,2007-Q3,85.40696
Belgium,LCEMP,2007-Q4,86.17447
Belgium,LCEMP,2008-Q1,87.32048
Belgium,LCEMP,2008-Q2,88.09495
Belgium,LCEMP,2008-Q3,89.02728
Belgium,LCEMP,2008-Q4,89.50955
Belgium,LCEMP,2009-Q1,89.06555
Belgium,LCEMP,2009-Q2,89.19907
Belgium,LCEMP,2009-Q3,89.64026
Belgium,LCEMP,2009-Q4,89.8899
Belgium,LCEMP,2010-Q1,89.67526
Belgium,LCEMP,2010-Q2,90.60338
Belgium,LCEMP,2010-Q3,90.90861
Belgium,LCEMP,2010-Q4,91.86707
Belgium,LCEMP,2011-Q1,92.83834
Belgium,LCEMP,2011-Q2,92.90606
Belgium,LCEMP,2011-Q3,94.20239
Belgium,LCEMP,2011-Q4,94.50932
Belgium,LCEMP,2012-Q1,95.51419
Belgium,LCEMP,2012-Q2,96.37836
Belgium,LCEMP,2012-Q3,96.76234
Belgium,LCEMP,2012-Q4,97.5394
Belgium,LCEMP,2013-Q1,97.76166
Belgium,LCEMP,2013-Q2,98.83972
Belgium,LCEMP,2013-Q3,99.31059
Belgium,LCEMP,2013-Q4,99.69138
Belgium,LCEMP,2014-Q1,99.89388
Belgium,LCEMP,2014-Q2,99.4601
Belgium,LCEMP,2014-Q3,100.1526
Belgium,LCEMP,2014-Q4,100.1074
Belgium,LCEMP,2015-Q1,99.94118
Belgium,LCEMP,2015-Q2,100.134
Belgium,LCEMP,2015-Q3,99.76385
Belgium,LCEMP,2015-Q4,100.161
Belgium,LCEMP,2016-Q1,100.6687
Belgium,LCEMP,2016-Q2,100.2901
Belgium,LCEMP,2016-Q3,100.6991
Belgium,LCEMP,2016-Q4,100.6382
Belgium,LCEMP,2017-Q1,101.6129
Belgium,LCEMP,2017-Q2,102.292
Belgium,LCEMP,2017-Q3,102.7634
Belgium,LCEMP,2017-Q4,103.3415
Belgium,LCEMP,2018-Q1,103.6881
Belgium,LCEMP,2018-Q2,104.2311
Belgium,LCEMP,2018-Q3,104.4452
Belgium,LCEMP,2018-Q4,105.2634
Belgium,LCEMP,2019-Q1,105.4288
Belgium,LCEMP,2019-Q2,106.3889
Belgium,LCEMP,2019-Q3,106.9395
Belgium,LCEMP,2019-Q4,107.2359
Belgium,LCEMP,2020-Q1,105.0703
Belgium,LCEMP,2020-Q2,99.67014
Belgium,LCEMP,2020-Q3,107.3891
Belgium,LCEMP,2020-Q4,107.2894
Belgium,LCEMP,2021-Q1,106.6827
Belgium,LCEMP,2021-Q2,108.8461
Belgium,LCEMP,2021-Q3,110.0329
Belgium,LCEMP,2021-Q4,112.1642
Belgium,LCEMP,2022-Q1,113.7048
Belgium,LCEMP,2022-Q2,116.3137
Belgium,LCEMP,2022-Q3,118.7293
Belgium,LCEMP,2022-Q4,121.032
Belgium,LCEMP,2023-Q1,124.1045
Belgium,LCEMP,2023-Q2,125.0736
Belgium,LCEMP,2023-Q3,127.3691
Czechia,LCEMP,1995-Q1,31.05271
Czechia,LCEMP,1995-Q2,31.17051
Czechia,LCEMP,1995-Q3,33.68295
Czechia,LCEMP,1995-Q4,34.8519
Czechia,LCEMP,1996-Q1,35.9367
Czechia,LCEMP,1996-Q2,37.91383
Czechia,LCEMP,1996-Q3,38.88354
Czechia,LCEMP,1996-Q4,40.47752
Czechia,LCEMP,1997-Q1,40.3465
Czechia,LCEMP,1997-Q2,42.72525
Czechia,LCEMP,1997-Q3,43.04559
Czechia,LCEMP,1997-Q4,43.14649
Czechia,LCEMP,1998-Q1,44.71191
Czechia,LCEMP,1998-Q2,45.40109
Czechia,LCEMP,1998-Q3,46.52346
Czechia,LCEMP,1998-Q4,47.23995
Czechia,LCEMP,1999-Q1,47.58005
Czechia,LCEMP,1999-Q2,48.50149
Czechia,LCEMP,1999-Q3,49.18136
Czechia,LCEMP,1999-Q4,50.11689
Czechia,LCEMP,2000-Q1,51.27412
Czechia,LCEMP,2000-Q2,51.93083
Czechia,LCEMP,2000-Q3,53.08997
Czechia,LCEMP,2000-Q4,54.30524
Czechia,LCEMP,2001-Q1,55.59365
Czechia,LCEMP,2001-Q2,56.95131
Czechia,LCEMP,2001-Q3,57.61071
Czechia,LCEMP,2001-Q4,58.24544
Czechia,LCEMP,2002-Q1,60.45115
Czechia,LCEMP,2002-Q2,60.94382
Czechia,LCEMP,2002-Q3,61.82291
Czechia,LCEMP,2002-Q4,62.85597
Czechia,LCEMP,2003-Q1,64.4603
Czechia,LCEMP,2003-Q2,66.00709
Czechia,LCEMP,2003-Q3,66.8237
Czechia,LCEMP,2003-Q4,68.0096
Czechia,LCEMP,2004-Q1,69.94331
Czechia,LCEMP,2004-Q2,70.5147
Czechia,LCEMP,2004-Q3,72.28271
Czechia,LCEMP,2004-Q4,73.62663
Czechia,LCEMP,2005-Q1,72.76514
Czechia,LCEMP,2005-Q2,74.105
Czechia,LCEMP,2005-Q3,75.05154
Czechia,LCEMP,2005-Q4,75.55629
Czechia,LCEMP,2006-Q1,76.30585
Czechia,LCEMP,2006-Q2,78.31498
Czechia,LCEMP,2006-Q3,79.72112
Czechia,LCEMP,2006-Q4,80.82454
Czechia,LCEMP,2007-Q1,81.66216
Czechia,LCEMP,2007-Q2,82.8811
Czechia,LCEMP,2007-Q3,84.32104
Czechia,LCEMP,2007-Q4,85.69078
Czechia,LCEMP,2008-Q1,87.85403
Czechia,LCEMP,2008-Q2,87.73402
Czechia,LCEMP,2008-Q3,87.17863
Czechia,LCEMP,2008-Q4,86.4856
Czechia,LCEMP,2009-Q1,86.73489
Czechia,LCEMP,2009-Q2,86.43896
Czechia,LCEMP,2009-Q3,86.18868
Czechia,LCEMP,2009-Q4,87.6426
Czechia,LCEMP,2010-Q1,88.7784
Czechia,LCEMP,2010-Q2,89.66194
Czechia,LCEMP,2010-Q3,90.59973
Czechia,LCEMP,2010-Q4,91.37038
Czechia,LCEMP,2011-Q1,91.34074
Czechia,LCEMP,2011-Q2,92.34514
Czechia,LCEMP,2011-Q3,93.0405
Czechia,LCEMP,2011-Q4,93.82781
Czechia,LCEMP,2012-Q1,94.47638
Czechia,LCEMP,2012-Q2,94.03728
Czechia,LCEMP,2012-Q3,93.56529
Czechia,LCEMP,2012-Q4,95.59235
Czechia,LCEMP,2013-Q1,93.28927
Czechia,LCEMP,2013-Q2,93.71563
Czechia,LCEMP,2013-Q3,95.14267
Czechia,LCEMP,2013-Q4,95.34814
Czechia,LCEMP,2014-Q1,96.27612
Czechia,LCEMP,2014-Q2,96.69482
Czechia,LCEMP,2014-Q3,97.09911
Czechia,LCEMP,2014-Q4,97.9828
Czechia,LCEMP,2015-Q1,98.94481
Czechia,LCEMP,2015-Q2,99.44377
Czechia,LCEMP,2015-Q3,100.169
Czechia,LCEMP,2015-Q4,101.4424
Czechia,LCEMP,2016-Q1,102.3803
Czechia,LCEMP,2016-Q2,102.803
Czechia,LCEMP,2016-Q3,104.6705
Czechia,LCEMP,2016-Q4,106.0451
Czechia,LCEMP,2017-Q1,108.7028
Czechia,LCEMP,2017-Q2,110.8467
Czechia,LCEMP,2017-Q3,112.2405
Czechia,LCEMP,2017-Q4,113.8607
Czechia,LCEMP,2018-Q1,117.7158
Czechia,LCEMP,2018-Q2,119.515
Czechia,LCEMP,2018-Q3,121.7091
Czechia,LCEMP,2018-Q4,122.8494
Czechia,LCEMP,2019-Q1,126.3915
Czechia,LCEMP,2019-Q2,128.6585
Czechia,LCEMP,2019-Q3,130.0352
Czechia,LCEMP,2019-Q4,131.4181
Czechia,LCEMP,2020-Q1,133.8162
Czechia,LCEMP,2020-Q2,126.8026
Czechia,LCEMP,2020-Q3,133.1046
Czechia,LCEMP,2020-Q4,139.0328
Czechia,LCEMP,2021-Q1,133.9223
Czechia,LCEMP,2021-Q2,140.6848
Czechia,LCEMP,2021-Q3,141.5168
Czechia,LCEMP,2021-Q4,143.3172
Czechia,LCEMP,2022-Q1,145.0231
Czechia,LCEMP,2022-Q2,146.7399
Czechia,LCEMP,2022-Q3,148.8244
Czechia,LCEMP,2022-Q4,152.5077
Czechia,LCEMP,2023-Q1,156.8988
Czechia,LCEMP,2023-Q2,157.3941
Czechia,LCEMP,2023-Q3,159.1672
Latvia,GDPEMP,1995-Q1,40.19701
Latvia,GDPEMP,1995-Q2,43.752
Latvia,GDPEMP,1995-Q3,42.4733
Latvia,GDPEMP,1995-Q4,46.52367
Latvia,GDPEMP,1996-Q1,39.7336
Latvia,GDPEMP,1996-Q2,43.00645
Latvia,GDPEMP,1996-Q3,43.76936
Latvia,GDPEMP,1996-Q4,50.14882
Latvia,GDPEMP,1997-Q1,41.04818
Latvia,GDPEMP,1997-Q2,46.43006
Latvia,GDPEMP,1997-Q3,46.41574
Latvia,GDPEMP,1997-Q4,50.33923
Latvia,GDPEMP,1998-Q1,46.39302
Latvia,GDPEMP,1998-Q2,50.09717
Latvia,GDPEMP,1998-Q3,48.81037
Latvia,GDPEMP,1998-Q4,51.25506
Latvia,GDPEMP,1999-Q1,46.80551
Latvia,GDPEMP,1999-Q2,50.16214
Latvia,GDPEMP,1999-Q3,51.17852
Latvia,GDPEMP,1999-Q4,57.09486
Latvia,GDPEMP,2000-Q1,49.87494
Latvia,GDPEMP,2000-Q2,56.11768
Latvia,GDPEMP,2000-Q3,57.23853
Latvia,GDPEMP,2000-Q4,61.65871
Latvia,GDPEMP,2001-Q1,51.67421
Latvia,GDPEMP,2001-Q2,60.24445
Latvia,GDPEMP,2001-Q3,57.83839
Latvia,GDPEMP,2001-Q4,65.17304
Latvia,GDPEMP,2002-Q1,54.89714
Latvia,GDPEMP,2002-Q2,62.70216
Latvia,GDPEMP,2002-Q3,61.08606
Latvia,GDPEMP,2002-Q4,69.25626
Latvia,GDPEMP,2003-Q1,58.46023
Latvia,GDPEMP,2003-Q2,67.83215
Latvia,GDPEMP,2003-Q3,66.40602
Latvia,GDPEMP,2003-Q4,75.05048
Latvia,GDPEMP,2004-Q1,63.32849
Latvia,GDPEMP,2004-Q2,72.96475
Latvia,GDPEMP,2004-Q3,71.91204
Latvia,GDPEMP,2004-Q4,80.41978
Latvia,GDPEMP,2005-Q1,68.49147
Latvia,GDPEMP,2005-Q2,76.98286
Latvia,GDPEMP,2005-Q3,80.39677
Latvia,GDPEMP,2005-Q4,90.57154
Latvia,GDPEMP,2006-Q1,71.90423
Latvia,GDPEMP,2006-Q2,83.17973
Latvia,GDPEMP,2006-Q3,83.438
Latvia,GDPEMP,2006-Q4,96.6369
Latvia,GDPEMP,2007-Q1,77.96265
Latvia,GDPEMP,2007-Q2,88.24433
Latvia,GDPEMP,2007-Q3,90.93889
Latvia,GDPEMP,2007-Q4,98.54309
Latvia,GDPEMP,2008-Q1,81.37714
Latvia,GDPEMP,2008-Q2,87.54074
Latvia,GDPEMP,2008-Q3,86.02549
Latvia,GDPEMP,2008-Q4,92.6172
Latvia,GDPEMP,2009-Q1,78.15913
Latvia,GDPEMP,2009-Q2,85.17157
Latvia,GDPEMP,2009-Q3,87.34629
Latvia,GDPEMP,2009-Q4,98.42648
Latvia,GDPEMP,2010-Q1,81.42923
Latvia,GDPEMP,2010-Q2,90.0096
Latvia,GDPEMP,2010-Q3,88.73929
Latvia,GDPEMP,2010-Q4,94.73781
Latvia,GDPEMP,2011-Q1,79.42147
Latvia,GDPEMP,2011-Q2,89.82296
Latvia,GDPEMP,2011-Q3,92.24088
Latvia,GDPEMP,2011-Q4,96.75771
Latvia,GDPEMP,2012-Q1,87.3091
Latvia,GDPEMP,2012-Q2,95.19746
Latvia,GDPEMP,2012-Q3,95.68359
Latvia,GDPEMP,2012-Q4,100.4497
Latvia,GDPEMP,2013-Q1,85.26576
Latvia,GDPEMP,2013-Q2,93.47922
Latvia,GDPEMP,2013-Q3,96.2519
Latvia,GDPEMP,2013-Q4,103.1259
Latvia,GDPEMP,2014-Q1,87.0073
Latvia,GDPEMP,2014-Q2,97.29304
Latvia,GDPEMP,2014-Q3,101.1769
Latvia,GDPEMP,2014-Q4,105.6178
Latvia,GDPEMP,2015-Q1,89.66959
Latvia,GDPEMP,2015-Q2,100.7198
Latvia,GDPEMP,2015-Q3,103.1982
Latvia,GDPEMP,2015-Q4,106.4123
Latvia,GDPEMP,2016-Q1,92.34346
Latvia,GDPEMP,2016-Q2,102.2483
Latvia,GDPEMP,2016-Q3,105.5801
Latvia,GDPEMP,2016-Q4,109.8629
Latvia,GDPEMP,2017-Q1,94.53684
Latvia,GDPEMP,2017-Q2,107.0197
Latvia,GDPEMP,2017-Q3,109.6895
Latvia,GDPEMP,2017-Q4,112.6714
Latvia,GDPEMP,2018-Q1,95.61617
Latvia,GDPEMP,2018-Q2,109.2538
Latvia,GDPEMP,2018-Q3,112.9404
Latvia,GDPEMP,2018-Q4,117.7988
Latvia,GDPEMP,2019-Q1,97.13432
Latvia,GDPEMP,2019-Q2,111.3628
Latvia,GDPEMP,2019-Q3,113.6791
Latvia,GDPEMP,2019-Q4,115.9916
Latvia,GDPEMP,2020-Q1,95.69242
Latvia,GDPEMP,2020-Q2,104.9645
Latvia,GDPEMP,2020-Q3,113.621
Latvia,GDPEMP,2020-Q4,118.8041
Latvia,GDPEMP,2021-Q1,103.7929
Latvia,GDPEMP,2021-Q2,116.1819
Latvia,GDPEMP,2021-Q3,124.5021
Latvia,GDPEMP,2021-Q4,128.5771
Latvia,GDPEMP,2022-Q1,106.7688
Latvia,GDPEMP,2022-Q2,119.8167
Latvia,GDPEMP,2022-Q3,121.8995
Latvia,GDPEMP,2022-Q4,127.2973
Latvia,GDPEMP,2023-Q1,105.2686
Latvia,GDPEMP,2023-Q2,118.6051
Latvia,GDPEMP,2023-Q3,122.1575
New Zealand,GDPEMP,1987-Q2,67.7763
New Zealand,GDPEMP,1987-Q3,68.81794
New Zealand,GDPEMP,1987-Q4,71.6096
New Zealand,GDPEMP,1988-Q1,70.50729
New Zealand,GDPEMP,1988-Q2,70.45029
New Zealand,GDPEMP,1988-Q3,73.18644
New Zealand,GDPEMP,1988-Q4,76.37498
New Zealand,GDPEMP,1989-Q1,75.72042
New Zealand,GDPEMP,1989-Q2,76.3179
New Zealand,GDPEMP,1989-Q3,72.4588
New Zealand,GDPEMP,1989-Q4,78.38335
New Zealand,GDPEMP,1990-Q1,76.12373
New Zealand,GDPEMP,1990-Q2,74.3297
New Zealand,GDPEMP,1990-Q3,73.3621
New Zealand,GDPEMP,1990-Q4,80.76779
New Zealand,GDPEMP,1991-Q1,75.34839
New Zealand,GDPEMP,1991-Q2,74.22387
New Zealand,GDPEMP,1991-Q3,73.30298
New Zealand,GDPEMP,1991-Q4,79.62309
New Zealand,GDPEMP,1992-Q1,76.67513
New Zealand,GDPEMP,1992-Q2,76.46817
New Zealand,GDPEMP,1992-Q3,72.07861
New Zealand,GDPEMP,1992-Q4,79.25896
New Zealand,GDPEMP,1993-Q1,77.60549
New Zealand,GDPEMP,1993-Q2,77.50063
New Zealand,GDPEMP,1993-Q3,74.78984
New Zealand,GDPEMP,1993-Q4,82.94535
New Zealand,GDPEMP,1994-Q1,81.36388
New Zealand,GDPEMP,1994-Q2,81.13945
New Zealand,GDPEMP,1994-Q3,75.82671
New Zealand,GDPEMP,1994-Q4,83.27959
New Zealand,GDPEMP,1995-Q1,79.921
New Zealand,GDPEMP,1995-Q2,80.68665
New Zealand,GDPEMP,1995-Q3,75.39981
New Zealand,GDPEMP,1995-Q4,83.39737
New Zealand,GDPEMP,1996-Q1,79.63297
New Zealand,GDPEMP,1996-Q2,80.16604
New Zealand,GDPEMP,1996-Q3,76.24426
New Zealand,GDPEMP,1996-Q4,84.77184
New Zealand,GDPEMP,1997-Q1,80.45089
New Zealand,GDPEMP,1997-Q2,82.31832
New Zealand,GDPEMP,1997-Q3,79.74689
New Zealand,GDPEMP,1997-Q4,86.37647
New Zealand,GDPEMP,1998-Q1,82.50772
New Zealand,GDPEMP,1998-Q2,82.8761
New Zealand,GDPEMP,1998-Q3,79.34832
New Zealand,GDPEMP,1998-Q4,89.46497
New Zealand,GDPEMP,1999-Q1,85.25216
New Zealand,GDPEMP,1999-Q2,85.73159
New Zealand,GDPEMP,1999-Q3,82.7656
New Zealand,GDPEMP,1999-Q4,90.51354
New Zealand,GDPEMP,2000-Q1,88.68748
New Zealand,GDPEMP,2000-Q2,87.85529
New Zealand,GDPEMP,2000-Q3,83.53397
New Zealand,GDPEMP,2000-Q4,90.9353
New Zealand,GDPEMP,2001-Q1,86.38595
New Zealand,GDPEMP,2001-Q2,87.86866
New Zealand,GDPEMP,2001-Q3,84.33491
New Zealand,GDPEMP,2001-Q4,91.74217
New Zealand,GDPEMP,2002-Q1,88.00613
New Zealand,GDPEMP,2002-Q2,87.61402
New Zealand,GDPEMP,2002-Q3,86.38528
New Zealand,GDPEMP,2002-Q4,94.63776
New Zealand,GDPEMP,2003-Q1,91.22292
New Zealand,GDPEMP,2003-Q2,90.02103
New Zealand,GDPEMP,2003-Q3,87.14108
New Zealand,GDPEMP,2003-Q4,95.27706
New Zealand,GDPEMP,2004-Q1,93.46134
New Zealand,GDPEMP,2004-Q2,91.94788
New Zealand,GDPEMP,2004-Q3,88.2358
New Zealand,GDPEMP,2004-Q4,93.69686
New Zealand,GDPEMP,2005-Q1,90.76018
New Zealand,GDPEMP,2005-Q2,91.73279
New Zealand,GDPEMP,2005-Q3,88.16886
New Zealand,GDPEMP,2005-Q4,94.82722
New Zealand,GDPEMP,2006-Q1,91.39834
New Zealand,GDPEMP,2006-Q2,89.44756
New Zealand,GDPEMP,2006-Q3,88.71342
New Zealand,GDPEMP,2006-Q4,96.21679
New Zealand,GDPEMP,2007-Q1,92.36439
New Zealand,GDPEMP,2007-Q2,92.54697
New Zealand,GDPEMP,2007-Q3,90.88435
New Zealand,GDPEMP,2007-Q4,97.7087
New Zealand,GDPEMP,2008-Q1,95.02644
New Zealand,GDPEMP,2008-Q2,91.6795
New Zealand,GDPEMP,2008-Q3,88.76289
New Zealand,GDPEMP,2008-Q4,95.06864
New Zealand,GDPEMP,2009-Q1,92.52425
New Zealand,GDPEMP,2009-Q2,93.13327
New Zealand,GDPEMP,2009-Q3,91.5099
New Zealand,GDPEMP,2009-Q4,99.89129
New Zealand,GDPEMP,2010-Q1,97.01044
New Zealand,GDPEMP,2010-Q2,96.84319
New Zealand,GDPEMP,2010-Q3,91.47624
New Zealand,GDPEMP,2010-Q4,98.0046
New Zealand,GDPEMP,2011-Q1,95.26964
New Zealand,GDPEMP,2011-Q2,95.13494
New Zealand,GDPEMP,2011-Q3,92.93063
New Zealand,GDPEMP,2011-Q4,101.1216
New Zealand,GDPEMP,2012-Q1,97.66109
New Zealand,GDPEMP,2012-Q2,97.23368
New Zealand,GDPEMP,2012-Q3,95.24061
New Zealand,GDPEMP,2012-Q4,105.4545
New Zealand,GDPEMP,2013-Q1,100.4311
New Zealand,GDPEMP,2013-Q2,98.37753
New Zealand,GDPEMP,2013-Q3,95.1695
New Zealand,GDPEMP,2013-Q4,102.2385
New Zealand,GDPEMP,2014-Q1,98.74802
New Zealand,GDPEMP,2014-Q2,97.53217
New Zealand,GDPEMP,2014-Q3,95.32048
New Zealand,GDPEMP,2014-Q4,102.4484
New Zealand,GDPEMP,2015-Q1,98.88956
New Zealand,GDPEMP,2015-Q2,98.45287
New Zealand,GDPEMP,2015-Q3,97.86071
New Zealand,GDPEMP,2015-Q4,104.7969
New Zealand,GDPEMP,2016-Q1,100.7278
New Zealand,GDPEMP,2016-Q2,98.38717
New Zealand,GDPEMP,2016-Q3,95.84679
New Zealand,GDPEMP,2016-Q4,102.0228
New Zealand,GDPEMP,2017-Q1,98.43958
New Zealand,GDPEMP,2017-Q2,98.99171
New Zealand,GDPEMP,2017-Q3,95.70352
New Zealand,GDPEMP,2017-Q4,103.3557
New Zealand,GDPEMP,2018-Q1,99.91705
New Zealand,GDPEMP,2018-Q2,99.94293
New Zealand,GDPEMP,2018-Q3,96.43179
New Zealand,GDPEMP,2018-Q4,106.218
New Zealand,GDPEMP,2019-Q1,102.0603
New Zealand,GDPEMP,2019-Q2,101.3475
New Zealand,GDPEMP,2019-Q3,99.14192
New Zealand,GDPEMP,2019-Q4,106.2713
New Zealand,GDPEMP,2020-Q1,100.1598
New Zealand,GDPEMP,2020-Q2,90.55014
New Zealand,GDPEMP,2020-Q3,101.1393
